local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
5/28/2025 4:00,0,0,0.56,0.58,mins,47,46,mph
5/28/2025 5:00,0.02,0,0.59,0.51,mins,45.4,51.6,mph
5/28/2025 6:00,0.04,0,0.63,0.52,mins,42.5,50.9,mph
5/28/2025 7:00,0.11,0,0.74,0.54,mins,37,49.2,mph
5/28/2025 8:00,0.13,0,0.76,0.56,mins,35.5,47.4,mph
5/28/2025 9:00,0.09,0,0.69,0.55,mins,39.2,48,mph
5/28/2025 10:00,0.08,0,0.7,0.55,mins,38.3,48.3,mph
5/28/2025 11:00,0.03,0,0.63,0.54,mins,41.8,48.7,mph
5/28/2025 12:00,0.04,0,0.63,0.54,mins,42,48.9,mph
5/28/2025 13:00,0.11,0,0.7,0.57,mins,39,46.8,mph
5/28/2025 14:00,0.08,0,0.67,0.55,mins,39.8,48.3,mph
5/28/2025 15:00,0.04,0,0.64,0.56,mins,41.8,47.6,mph
5/28/2025 16:00,0.04,0,0.63,0.55,mins,42.5,47.8,mph
5/28/2025 17:00,0.08,0,0.7,0.55,mins,38.2,47.8,mph
5/28/2025 18:00,0.06,0,0.67,0.54,mins,39.8,48.9,mph
5/28/2025 19:00,0.05,0,0.64,0.52,mins,41.8,50.6,mph
5/28/2025 20:00,0.02,0,0.61,0.55,mins,43.3,48.4,mph
5/28/2025 21:00,0.01,0,0.59,0.54,mins,45.5,48.4,mph
5/28/2025 22:00,0.06,0,0.68,0.54,mins,39.1,48.9,mph
5/28/2025 23:00,0.03,0,0.62,0.53,mins,42.8,49.4,mph
5/29/2025 0:00,0,0,0.52,0.58,mins,51.1,46.1,mph
5/29/2025 1:00,0.07,0,0.7,0.56,mins,39.6,47.2,mph
5/29/2025 2:00,0,0,0.6,0.54,mins,44.2,48.6,mph
5/29/2025 3:00,0,0,0.61,0.59,mins,43.3,44.8,mph
5/29/2025 4:00,0.05,0,0.66,0.57,mins,40.7,46.5,mph
5/29/2025 5:00,0.03,0,0.59,0.54,mins,44.9,48.9,mph
5/29/2025 6:00,0.05,0,0.62,0.55,mins,43.1,48.4,mph
5/29/2025 7:00,0.19,0.01,0.81,0.56,mins,33.2,47.5,mph
5/29/2025 8:00,0.11,0,0.75,0.55,mins,35.6,47.6,mph
5/29/2025 9:00,0.13,0,0.75,0.53,mins,36.2,49.9,mph
5/29/2025 10:00,0.05,0,0.66,0.53,mins,40.1,49.5,mph
5/29/2025 11:00,0.11,0,0.73,0.55,mins,37,47.6,mph
5/29/2025 12:00,0.05,0,0.67,0.55,mins,39.7,48.3,mph
5/29/2025 13:00,0.04,0,0.64,0.54,mins,41.3,48.5,mph
5/29/2025 14:00,0.08,0,0.68,0.56,mins,39.7,46.9,mph
5/29/2025 15:00,0.09,0.01,0.71,0.57,mins,38,46.4,mph
5/29/2025 16:00,0.07,0.03,0.65,0.59,mins,42.2,45.1,mph
5/29/2025 17:00,0.03,0,0.62,0.56,mins,43.1,47,mph
5/29/2025 18:00,0.04,0,0.66,0.54,mins,39.9,48.8,mph
5/29/2025 19:00,0.01,0,0.56,0.54,mins,47.3,48.8,mph
