local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
6/20/2025 15:00,0.34,0.06,0.8,0.5,mins,20.7,31.7,mph
6/20/2025 16:00,0.14,0.09,0.58,0.53,mins,29.2,30.1,mph
6/20/2025 17:00,0.17,0.07,0.61,0.51,mins,27.4,31.3,mph
6/20/2025 18:00,0.06,0.04,0.48,0.47,mins,35.2,33.5,mph
6/20/2025 19:00,0.16,0.04,0.61,0.47,mins,28.3,33.1,mph
6/20/2025 20:00,0.23,0.09,0.69,0.53,mins,24.6,30.4,mph
6/20/2025 21:00,0.16,0.12,0.56,0.57,mins,33.3,27.9,mph
6/20/2025 22:00,0.12,0.13,0.55,0.57,mins,31.4,27.8,mph
6/20/2025 23:00,0.01,0.07,0.42,0.5,mins,38.7,31.3,mph
6/21/2025 0:00,0.01,0.12,0.38,0.56,mins,42.8,28.4,mph
6/21/2025 1:00,0.01,0.07,0.39,0.5,mins,41.8,32.1,mph
6/21/2025 2:00,0.01,0.03,0.4,0.44,mins,41.1,35.2,mph
6/21/2025 3:00,0,0.05,0.38,0.46,mins,42.9,35,mph
6/21/2025 4:00,0,0,0.4,0.36,mins,40.8,43.6,mph
6/21/2025 5:00,0.01,0.03,0.43,0.41,mins,38.6,39,mph
6/21/2025 6:00,0.02,0.15,0.41,0.58,mins,39.5,27.1,mph
6/21/2025 7:00,0.13,0.13,0.56,0.57,mins,32,27.6,mph
6/21/2025 8:00,0.14,0.14,0.6,0.58,mins,27.9,27.3,mph
6/21/2025 9:00,0.12,0.09,0.54,0.52,mins,33.5,31.1,mph
6/21/2025 10:00,0.12,0.07,0.55,0.51,mins,31.9,31.3,mph
6/21/2025 11:00,0.18,0.06,0.63,0.49,mins,26.7,32.2,mph
6/21/2025 12:00,0.12,0.04,0.56,0.47,mins,30.6,34.3,mph
6/21/2025 13:00,0.2,0.05,0.64,0.49,mins,26.8,32.2,mph
6/21/2025 14:00,0.07,0.07,0.49,0.5,mins,34.4,31.5,mph
6/21/2025 15:00,0.15,0.02,0.59,0.45,mins,30,35.1,mph
6/21/2025 16:00,0.13,0.05,0.58,0.48,mins,30.1,33.4,mph
6/21/2025 17:00,0.08,0.07,0.51,0.51,mins,34.1,30.9,mph
6/21/2025 18:00,0.21,0.03,0.64,0.46,mins,29.4,34,mph
6/21/2025 19:00,0.21,0.07,0.67,0.51,mins,26,31.5,mph
6/21/2025 20:00,0.2,0.11,0.66,0.56,mins,25.3,28.4,mph
6/21/2025 21:00,0.28,0.12,0.74,0.56,mins,23.3,27.9,mph
6/21/2025 22:00,0.32,0.07,0.78,0.51,mins,22.1,31.1,mph
6/21/2025 23:00,0.01,0.08,0.4,0.5,mins,41.8,31.5,mph
6/22/2025 0:00,0.02,0.06,0.39,0.49,mins,42.2,32.6,mph
6/22/2025 1:00,0,0.06,0.33,0.45,mins,49.8,35,mph
6/22/2025 2:00,0,0.04,0.38,0.44,mins,43.6,35.6,mph
6/22/2025 3:00,0,0.04,0.37,0.45,mins,43.7,34.9,mph
6/22/2025 4:00,0,0,0.36,0.36,mins,45.4,43.9,mph
6/22/2025 5:00,0,0.01,0.35,0.39,mins,46.7,40.5,mph
6/22/2025 6:00,0.05,0.05,0.46,0.46,mins,37,34.8,mph
6/22/2025 7:00,0.06,0.05,0.52,0.48,mins,32.2,32.7,mph
6/22/2025 8:00,0.05,0.09,0.47,0.52,mins,35.1,30.8,mph
6/22/2025 9:00,0.12,0.06,0.56,0.47,mins,30.8,33.5,mph
6/22/2025 10:00,0.18,0.08,0.63,0.5,mins,27.7,31.4,mph
6/22/2025 11:00,0.09,0.04,0.53,0.45,mins,32.4,35.2,mph
6/22/2025 12:00,0.12,0.06,0.54,0.49,mins,33.1,32.6,mph
6/22/2025 13:00,0.13,0.08,0.58,0.51,mins,30.2,32.4,mph
6/22/2025 14:00,0.12,0.04,0.56,0.48,mins,29.6,33.1,mph
6/22/2025 15:00,0.03,0.1,0.4,0.54,mins,41.7,29.4,mph
6/22/2025 16:00,0.12,0.03,0.54,0.46,mins,32,34.3,mph
6/22/2025 17:00,0.09,0.05,0.52,0.48,mins,33.1,32.6,mph
6/22/2025 18:00,0.18,0.1,0.63,0.54,mins,26.4,29.1,mph
6/22/2025 19:00,0.11,0.12,0.56,0.56,mins,31.6,28.4,mph
6/22/2025 20:00,0.06,0.14,0.49,0.59,mins,34.2,27.3,mph
6/22/2025 21:00,0.02,0.12,0.45,0.56,mins,36.8,28.1,mph
6/22/2025 22:00,0.04,0.13,0.45,0.57,mins,36.2,27.8,mph
6/22/2025 23:00,0,0.04,0.39,0.45,mins,42.5,34.9,mph
6/23/2025 0:00,0,0.05,0.38,0.47,mins,43.5,33.3,mph
6/23/2025 1:00,0,0.01,0.37,0.4,mins,45.3,38.9,mph
6/23/2025 2:00,0,0.01,0.37,0.39,mins,43.8,40.4,mph
6/23/2025 3:00,0,0,0.36,0.36,mins,45.7,44,mph
6/23/2025 4:00,0.01,0.02,0.39,0.43,mins,41.7,36.9,mph
6/23/2025 5:00,0,0.07,0.37,0.5,mins,44.3,31.8,mph
6/23/2025 6:00,0.06,0.09,0.47,0.52,mins,36.8,30.7,mph
6/23/2025 7:00,0.15,0.07,0.58,0.5,mins,29.7,31.4,mph
6/23/2025 8:00,0.11,0.07,0.55,0.5,mins,31.6,31.5,mph
6/23/2025 9:00,0.18,0.16,0.62,0.6,mins,29.6,26.6,mph
6/23/2025 10:00,0.12,0.08,0.55,0.52,mins,32.5,30.1,mph
6/23/2025 11:00,0.16,0.05,0.6,0.49,mins,29.5,32.1,mph
6/23/2025 12:00,0.26,0.07,0.71,0.51,mins,24.5,31.1,mph
6/23/2025 13:00,0.13,0.06,0.57,0.49,mins,30.2,32.2,mph
6/23/2025 14:00,0.19,0.07,0.64,0.51,mins,26.8,31.3,mph
6/23/2025 15:00,0.2,0.04,0.64,0.47,mins,27.9,33.6,mph
6/23/2025 16:00,0.14,0.1,0.56,0.53,mins,32.5,30.3,mph
6/23/2025 17:00,0.15,0.04,0.57,0.48,mins,31.2,32.5,mph
6/23/2025 18:00,0.11,0.04,0.55,0.47,mins,30.9,33.2,mph
6/23/2025 19:00,0.08,0.03,0.49,0.46,mins,36,33.9,mph
6/23/2025 20:00,0.12,0.14,0.56,0.58,mins,30.7,27.2,mph
